"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"0","6916","0","0","0","0","0","0","6916","6595","0","0","0","0","0","0","6595","13511"
"1","7231","0","0","0","0","0","0","7231","6871","0","0","0","0","0","0","6871","14102"
"2","7424","0","0","0","0","0","0","7424","7039","0","0","0","0","0","0","7039","14463"
"3","7652","0","0","0","0","0","0","7652","7276","0","0","0","0","0","0","7276","14928"
"4","7846","0","0","0","0","0","0","7846","7580","0","0","0","0","0","0","7580","15426"
"5","8380","0","0","0","0","0","0","8380","7983","0","0","0","0","0","0","7983","16363"
"6","8733","0","0","0","0","0","0","8733","8261","0","0","0","0","0","0","8261","16994"
"7","9139","0","0","0","0","0","0","9139","8330","0","0","0","0","0","0","8330","17469"
"8","9207","0","0","0","0","0","0","9207","8947","0","0","0","0","0","0","8947","18154"
"9","9704","0","0","0","0","0","0","9704","9019","0","0","0","0","0","0","9019","18723"
"10","9911","0","0","0","0","0","0","9911","9403","0","0","0","0","0","0","9403","19314"
"11","10195","0","0","0","0","0","0","10195","9366","0","0","0","0","0","0","9366","19561"
"12","10335","0","0","0","0","0","0","10335","9779","0","0","0","0","0","0","9779","20114"
"13","10707","0","0","0","0","0","0","10707","9908","0","0","0","0","0","0","9908","20615"
"14","10775","0","0","0","0","0","0","10775","10029","0","0","0","0","0","0","10029","20804"
"15","10587","0","0","0","0","0","0","10587","9948","0","0","0","0","0","0","9948","20535"
"16","10609","0","0","0","0","0","0","10609","9713","0","0","0","0","0","0","9713","20322"
"17","10495","0","0","0","0","0","0","10495","9885","0","0","0","0","0","0","9885","20380"
"18","10624","1","0","0","0","0","0","10625","9734","4","0","0","0","0","0","9738","20363"
"19","10562","3","0","0","0","0","0","10565","9779","20","0","0","0","0","0","9799","20364"
"20","10331","3","1","0","0","0","0","10335","9691","55","2","0","0","0","0","9748","20083"
"21","10368","18","1","0","1","0","0","10388","9627","127","7","0","0","0","0","9761","20149"
"22","11105","38","3","0","1","0","0","11147","9787","211","4","0","2","0","0","10004","21151"
"23","10998","73","5","0","1","0","0","11077","9367","319","3","2","2","1","0","9694","20771"
"24","11195","107","4","0","3","1","0","11310","9464","410","11","0","1","0","0","9886","21196"
"25","10940","182","5","0","1","0","0","11128","9465","640","19","1","5","1","0","10131","21259"
"26","10917","300","11","0","9","0","0","11237","9266","846","30","3","7","0","0","10152","21389"
"27","10707","469","14","0","5","0","0","11195","8906","1072","27","4","4","0","0","10013","21208"
"28","10670","685","16","0","9","1","0","11381","8699","1526","49","9","13","0","0","10296","21677"
"29","10327","967","25","0","12","1","0","11332","8656","1979","59","3","17","0","0","10714","22046"
"30","10345","1403","39","1","9","1","0","11798","8241","2604","84","5","16","3","0","10953","22751"
"31","9874","1826","62","4","12","0","0","11778","7956","3220","100","10","20","0","0","11306","23084"
"32","9809","2453","69","1","16","0","0","12348","7527","3792","165","13","31","4","0","11532","23880"
"33","8860","2886","90","11","18","1","0","11866","6982","4194","194","12","17","4","0","11403","23269"
"34","8609","3468","126","11","28","2","0","12244","6562","4759","227","25","21","2","0","11596","23840"
"35","7713","3851","146","8","26","1","0","11745","5957","5250","290","29","34","0","0","11560","23305"
"36","7435","4277","193","10","30","2","0","11947","5597","5550","357","37","18","0","1","11560","23507"
"37","7125","4701","224","8","30","1","0","12089","5450","6157","444","58","24","1","0","12134","24223"
"38","6766","5042","245","13","20","1","0","12087","5239","6331","531","44","24","4","1","12174","24261"
"39","6524","5501","327","12","27","0","0","12391","4997","6822","550","64","28","1","0","12462","24853"
"40","6353","6145","363","5","21","2","0","12889","4935","7294","652","63","17","1","0","12962","25851"
"41","6047","6283","435","35","20","0","0","12820","4732","7407","747","107","21","0","0","13014","25834"
"42","5847","6613","492","23","27","0","0","13002","4586","7737","863","126","16","1","0","13329","26331"
"43","5966","7036","513","38","23","2","1","13579","4367","8243","953","121","16","1","0","13701","27280"
"44","6019","7496","610","50","24","1","1","14201","4629","8832","1048","140","18","1","0","14668","28869"
"45","6017","8128","738","42","31","1","0","14957","4616","9506","1198","152","22","1","0","15495","30452"
"46","6111","8604","839","41","24","0","0","15619","4484","9998","1447","192","21","2","0","16144","31763"
"47","6067","9443","1038","51","42","0","1","16642","4573","10746","1578","236","29","1","0","17163","33805"
"48","6204","10190","1150","60","43","2","0","17649","4413","11421","1801","248","20","3","0","17906","35555"
"49","5876","10364","1269","63","45","1","1","17619","4286","11406","1849","280","21","0","0","17842","35461"
"50","5559","10941","1310","98","28","1","0","17937","3907","11832","2071","305","10","0","0","18125","36062"
